,zipcode,bedrooms,price,weekly_price,monthly_price,cleaning_fee,number_of_reviews,review_scores_rating
3584,11206,2.0,151.0,906.0,4228.0,100.0,35,98.0
3590,11103,2.0,150.0,900.0,3500.0,90.0,88,89.0
3603,11208,2.0,73.0,438.0,2044.0,0.0,207,98.0
3606,10031,2.0,120.0,720.0,3360.0,100.0,8,90.0
3607,10002,2.0,380.0,2280.0,5000.0,125.0,15,100.0
3614,11215,2.0,180.0,680.0,5040.0,50.0,6,97.0
3617,11215,2.0,199.0,1199.0,3199.0,90.0,26,90.0
3624,10025,2.0,495.0,2970.0,13860.0,175.0,94,99.0
3638,10003,2.0,142.0,852.0,5600.0,100.0,184,92.0
3647,11237,2.0,175.0,1400.0,5000.0,75.0,28,92.0
3651,,2.0,249.0,1494.0,6450.0,80.0,247,84.0
3666,11237,2.0,90.0,600.0,2520.0,252.0,0,
3671,11238,2.0,105.0,630.0,2940.0,75.0,2,90.0
3675,11211,2.0,150.0,1000.0,4200.0,20.0,36,95.0
3681,10012,2.0,200.0,1300.0,4500.0,160.0,43,92.0
3684,11230,2.0,115.0,770.0,2199.0,50.0,4,95.0
3688,10027,2.0,55.0,280.0,1540.0,15.0,19,97.0
3691,10019,2.0,175.0,2200.0,4900.0,0.0,4,100.0
3697,11205,2.0,170.0,1000.0,3700.0,370.0,212,97.0
3706,10003,2.0,300.0,1800.0,8400.0,840.0,17,97.0
3722,11211,2.0,500.0,3000.0,14000.0,150.0,0,
3726,11106,2.0,149.0,894.0,4172.0,70.0,8,100.0
3729,10039,2.0,300.0,2000.0,8400.0,840.0,0,
3731,11412,2.0,275.0,1650.0,7700.0,75.0,82,93.0
3736,10031,2.0,150.0,900.0,4200.0,420.0,12,84.0
3738,10009,2.0,290.0,1740.0,8120.0,100.0,114,85.0
3752,11211,2.0,250.0,1500.0,7000.0,200.0,0,
3759,10010,2.0,345.0,2200.0,9660.0,100.0,56,94.0
3771,10003,2.0,150.0,900.0,3400.0,340.0,0,
3772,11372,2.0,200.0,1000.0,5600.0,50.0,3,100.0
3774,11211,2.0,210.0,1340.0,4300.0,60.0,197,96.0
3777,10025,2.0,199.0,1400.0,5572.0,200.0,8,94.0
3778,10012,2.0,272.0,1632.0,7616.0,92.0,4,100.0
3800,10019,2.0,599.0,3995.0,16772.0,100.0,0,
3804,11217,2.0,400.0,2500.0,6000.0,140.0,30,95.0
3810,10010,2.0,175.0,900.0,4900.0,75.0,0,
3811,11222,2.0,199.0,1194.0,4500.0,450.0,8,100.0
3816,10030,2.0,77.0,462.0,2156.0,30.0,5,88.0
3817,11237,2.0,60.0,450.0,1600.0,30.0,14,94.0
3863,10012,2.0,375.0,2500.0,6800.0,90.0,6,90.0
3873,10013,2.0,199.0,1250.0,4800.0,120.0,68,67.0
3885,10023,2.0,300.0,1800.0,8400.0,110.0,4,100.0
3913,11211,2.0,60.0,360.0,2750.0,275.0,0,
3914,11222,2.0,199.0,1194.0,4500.0,450.0,4,100.0
3918,10009,2.0,250.0,1850.0,6500.0,150.0,34,90.0
3928,10025,2.0,900.0,5400.0,25200.0,2520.0,0,
3932,11207,2.0,200.0,1200.0,5600.0,100.0,0,
3933,11233,2.0,170.0,1020.0,4760.0,100.0,109,99.0
3948,10012,2.0,900.0,5400.0,25200.0,2520.0,0,
3951,10003,2.0,850.0,6000.0,23800.0,100.0,0,
3954,10128,2.0,303.0,1818.0,8484.0,100.0,29,97.0
3960,11233,2.0,185.0,1110.0,5180.0,65.0,140,98.0
3963,11237,2.0,130.0,740.0,2600.0,35.0,9,96.0
3968,11238,2.0,200.0,1300.0,4500.0,100.0,54,87.0
3971,11238,2.0,175.0,1100.0,4900.0,50.0,6,93.0
3985,11211,2.0,140.0,840.0,2500.0,60.0,6,97.0
4000,10009,2.0,100.0,600.0,2800.0,280.0,0,
4009,11238,2.0,285.0,1710.0,5000.0,250.0,22,96.0
4010,10024,2.0,300.0,1800.0,8400.0,120.0,2,100.0
4018,10011,2.0,156.0,1200.0,2800.0,120.0,5,96.0
4022,11211,2.0,250.0,1500.0,7000.0,100.0,0,
4023,11211,2.0,325.0,2200.0,7500.0,120.0,149,93.0
4046,10024,2.0,99.0,594.0,6000.0,60.0,134,89.0
4047,10024,2.0,395.0,2370.0,11060.0,125.0,1,
4051,10016,2.0,1500.0,9000.0,42000.0,4200.0,0,
4063,10010,2.0,650.0,3900.0,18200.0,1820.0,0,
4066,10027,2.0,95.0,600.0,2200.0,50.0,4,100.0
4077,10016,2.0,420.0,2520.0,11760.0,30.0,2,100.0
4084,10023,2.0,380.0,2280.0,10640.0,0.0,11,100.0
4088,10025,2.0,1500.0,9000.0,42000.0,4200.0,0,
4090,10014,2.0,1500.0,9000.0,42000.0,4200.0,0,
4115,10012,2.0,289.0,1734.0,8092.0,79.0,33,96.0
4123,10001,2.0,1000.0,6000.0,28000.0,2800.0,0,
4135,11222,2.0,199.0,1194.0,4500.0,450.0,2,100.0
4139,11104,2.0,600.0,3600.0,16800.0,1680.0,0,
4140,10016,2.0,400.0,2400.0,11200.0,1120.0,0,
4143,11217,2.0,265.0,1590.0,7420.0,50.0,0,
4152,10011,2.0,2500.0,12500.0,40000.0,300.0,0,
4157,10003,2.0,3750.0,22500.0,105000.0,10500.0,0,
4158,10019,2.0,250.0,1500.0,7000.0,75.0,2,100.0
4159,11249,2.0,500.0,3000.0,14000.0,1400.0,0,
4162,10021,2.0,1600.0,9600.0,44800.0,4480.0,0,
4169,11249,2.0,250.0,1500.0,7000.0,50.0,0,
4180,10036,2.0,200.0,1200.0,5600.0,560.0,8,97.0
4181,10002,2.0,99.0,594.0,2800.0,120.0,3,73.0
4182,11205,2.0,75.0,425.0,1400.0,82.0,4,100.0
4183,10038,2.0,1000.0,6000.0,28000.0,2800.0,0,
4190,10036,2.0,975.0,5950.0,17000.0,1700.0,1,
4198,10011,2.0,1650.0,9900.0,46200.0,150.0,13,100.0
4199,10024,2.0,650.0,3900.0,18200.0,200.0,30,100.0
4205,11238,2.0,200.0,1200.0,5600.0,70.0,99,96.0
4207,11201,2.0,175.0,1050.0,4900.0,75.0,31,96.0
4209,10025,2.0,100.0,1200.0,3800.0,75.0,14,96.0
4210,11206,2.0,200.0,1200.0,5600.0,50.0,13,95.0
4222,10023,2.0,400.0,2400.0,11200.0,1120.0,0,
4228,11225,2.0,250.0,1785.0,7000.0,80.0,7,93.0
4234,10001,2.0,475.0,2980.0,8950.0,225.0,27,99.0
4239,11225,2.0,145.0,870.0,4060.0,80.0,0,
4242,11213,2.0,139.0,1000.0,3800.0,130.0,70,96.0
